,2019-02-18,2019-06-10,2018-11-01,2018-12-03,2019-07-12,2019-08-13,2018-09-14,2019-03-22,2019-04-23,2019-05-25,2019-07-28,2018-09-30,2019-06-26,2019-08-29,2019-03-06,2019-04-07,2019-05-09,2018-10-16,2018-11-17,number,groups,type,PC_1_45%,PC_2_20%,PC_3_16%,geometry
10,0.20555,0.28150000000000003,0.1826,0.2308,0.17099999999999999,0.22394999999999998,0.19315,0.3591,0.7426,0.6982,0.2051,0.1928,0.16899999999999998,0.237,0.2218,0.4599,0.73685,0.1881,0.2152,10,яровые,TT,-0.3234671195684322,-1.2057120903538738,-2.047382636722981,"POLYGON ((44.46837438263028 44.64776699461427, 44.48645390618417 44.66462979389495, 44.49617659857556 44.65941106115437, 44.47787983739122 44.64266572724976, 44.46837438263028 44.64776699461427))"
11,0.2103,0.27925,0.183,0.22765,0.16055000000000003,0.2141,0.1946,0.3721,0.7397,0.63435,0.19365,0.19519999999999998,0.16825,0.21705,0.2175,0.45605,0.73345,0.18914999999999998,0.1878,11,яровые,TT,-0.4721957250526039,-1.6327670929787215,-1.7918386579797039,"POLYGON ((44.47830628733458 44.64248496577177, 44.49642386289806 44.6592367503332, 44.50895337714437 44.65242872723533, 44.49079429717578 44.63556909900479, 44.47830628733458 44.64248496577177))"
12,0.1779,0.1911,0.2232,0.2209,0.1832,0.1829,0.2305,0.1956,0.2756,0.2213,0.1825,0.2246,0.1813,0.1751,0.1919,0.19699999999999998,0.2412,0.2186,0.1792,12,пары,TT,-2.736730545195766,-2.586762082563545,1.8092671311706467,"POLYGON ((44.42554819566325 44.62251365830598, 44.42548658254449 44.62253527368888, 44.43162132163631 44.62831770515616, 44.43191867343999 44.62826071717828, 44.43319796631208 44.62931217851409, 44.44227036493584 44.62455520504199, 44.43506971862472 44.61782528531206, 44.42554819566325 44.62251365830598))"
13,0.20405,0.3579,0.18605,0.2203,0.18625000000000003,0.18220000000000003,0.1898,0.32495,0.7103,0.69725,0.17195,0.18245,0.17865,0.1785,0.23349999999999999,0.3994000000000001,0.7643500000000001,0.181,0.19865,13,яровые,TT,-0.7438330645582559,-2.026836389422902,-1.8056015782347496,"POLYGON ((44.44200204903678 44.63760674129686, 44.45104059074008 44.63270274416495, 44.4425538172655 44.62487815997116, 44.4334715834694 44.62959125634324, 44.44200204903678 44.63760674129686))"
14,0.19255,0.30710000000000004,0.17565000000000003,0.2227,0.18845,0.19074999999999998,0.18285,0.3062,0.7384000000000001,0.76535,0.18195,0.18335,0.18159999999999998,0.1925,0.21215,0.44545,0.83875,0.184,0.18845,14,яровые,TT,-0.655801279995513,-1.848774988669958,-2.313750273823894,"POLYGON ((44.44242830054088 44.63798886074515, 44.46261831724645 44.65690113271213, 44.4720588596519 44.65184024898097, 44.45164755671999 44.63291760430494, 44.44242830054088 44.63798886074515))"
15,0.1876,0.33440000000000003,0.1715,0.2234,0.1918,0.2001,0.1817,0.2938,0.7566,0.7981,0.185,0.1696,0.1787,0.1971,0.2293,0.6449,0.8,0.1797,0.2025,15,яровые,TT,-0.3112150302607884,-1.6107958701812952,-2.6843743441297536,"POLYGON ((44.47239901836109 44.65215242786071, 44.45786879144514 44.6600322562719, 44.4721641012631 44.67353202259817, 44.48748905112657 44.66627882978494, 44.47239901836109 44.65215242786071))"
16,0.2831,0.36660000000000004,0.2593,0.3521,0.18185,0.1946,0.1865,0.43055000000000004,0.8353,0.8503000000000001,0.17995,0.2043,0.18935000000000002,0.19265,0.3516,0.78695,0.8601000000000001,0.2205,0.2944,16,озимые,TT,2.304519465653145,-1.7001430085854519,-2.016446239002753,"POLYGON ((44.48804752495298 44.66682215476248, 44.46764089214292 44.67646360904789, 44.4725774548712 44.6810323163778, 44.49237358552718 44.67102185708612, 44.48804752495298 44.66682215476248))"
17,0.28775,0.4224,0.27080000000000004,0.366,0.1827,0.18825,0.19195,0.4023000000000001,0.85545,0.8791500000000001,0.18225000000000002,0.2014,0.18025000000000002,0.19475,0.30085,0.7391000000000001,0.88165,0.24945,0.3735,17,озимые,TT,2.5324227369519523,-1.6142365982533138,-1.896004402805318,"POLYGON ((44.47095457393707 44.68038898261704, 44.46685958997274 44.67677422422517, 44.45732292052524 44.68177207779291, 44.461345814307 44.68540145169479, 44.47095457393707 44.68038898261704))"
18,0.34890000000000004,0.41415,0.3145,0.4396,0.17775,0.183,0.19265,0.50675,0.8298000000000001,0.83475,0.1769,0.19805,0.16735,0.1904,0.3417,0.68755,0.851,0.2679,0.39890000000000003,18,озимые,TT,3.3766208199819343,-1.8360669448487728,-1.4278762228243638,"POLYGON ((44.45332142951963 44.67918775852046, 44.44386285141199 44.68442603532089, 44.45468766004757 44.69460760887075, 44.46463935311307 44.68929767399377, 44.45332142951963 44.67918775852046))"
19,0.19255,0.19235,0.22425,0.23249999999999998,0.17870000000000003,0.17535,0.24459999999999998,0.2133,0.2553,0.27340000000000003,0.1715,0.28705,0.1775,0.17880000000000001,0.204,0.20340000000000003,0.24035,0.26055,0.2238,19,пары,TT,-2.0299321175065477,-2.8314658691540946,2.787456167949877,"POLYGON ((44.4453866167949 44.69972981620936, 44.45424043404816 44.69476991031055, 44.44339522167655 44.68458454104381, 44.434413242889 44.68961971803484, 44.4453866167949 44.69972981620936))"
